id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17239193,Julia's-Beachfront Cabana #8,76373228,Marcy,Stann Creek,Stann Creek Mainland,16.51879,-88.36736,Entire home/apt,151,1,50,2022-01-29,0.81,8,253,3,
17251210,Julia's Cabanas: Beachfront Cabana #6,76373228,Marcy,Stann Creek,Stann Creek Mainland,16.51891,-88.36749,Entire home/apt,179,1,28,2022-01-21,0.45,8,268,1,
17252714,Blue Wave Guest House - Standard Seaview Room,98145906,Blue Wave,Belize,Belize Islands,17.74728,-88.02466,Private room,185,2,10,2020-01-15,0.17,2,208,0,
17254887,Julia's Cabanas: Ocean View Cabana #5,76373228,Marcy,Stann Creek,Stann Creek Mainland,16.51899,-88.36736,Entire home/apt,151,1,60,2022-02-25,0.97,8,281,8,
17267881,Oceanfront Deluxe condo at Grand Caribe Resort,116422808,Van,Belize,Belize Islands,17.93656,-87.95312,Entire home/apt,1792,3,11,2021-11-21,0.20,1,333,2,
17297480,Seaside Villas first floor unit 2,604999,Bobbi,Belize,Belize Islands,17.74163,-88.02397,Entire home/apt,494,2,30,2022-01-10,0.77,27,187,11,
17315738,Manatee Lodge,116852394,Nancy,Belize,Belize Mainland,17.1994,-88.33431,Private room,171,1,11,2022-03-05,0.22,1,338,6,
17316830,Julia's Cabanas: Duplex Cabana Room #4,76373228,Marcy,Stann Creek,Stann Creek Mainland,16.51879,-88.36726,Entire home/apt,161,1,32,2019-06-23,0.52,8,275,0,
17339760,Julia's Cabanas: Duplex Cabana Room #3,76373228,Marcy,Stann Creek,Stann Creek Mainland,16.51909,-88.36729,Entire home/apt,111,1,35,2022-02-20,0.58,8,280,4,
17344864,The Kingfish,117163321,Monica,Belize,Belize Mainland,17.55819,-88.28731,Entire home/apt,125,1,10,2022-01-30,0.17,1,25,2,
17365091,Tiny House Blue Hole in the forest,61596706,Carren,Cayo,Cayo,17.2554,-88.75453,Entire home/apt,60,1,9,2022-03-18,0.20,5,365,1,
17419329,Caves Branch Jungle Lodge Cabanas,117813391,Aaron,Cayo,Cayo,17.16677,-88.68529,Private room,177,1,10,2021-11-29,0.30,4,0,3,
17460556,TBG Bed & Breakfast - Room 1,118222535,Guillermo,Belize,Belize Mainland,17.51425,-88.19174,Private room,111,1,174,2022-03-16,2.85,5,171,28,
17511906,"Oceanfront Home w/ Private Pool, Beach, & Rooftop Deck - WiFi & Partial AC",76414486,Vacasa Belize,Stann Creek,Stann Creek Mainland,16.61663,-88.3542,Entire home/apt,1004,2,27,2022-03-05,0.44,244,357,9,
17572675,Pilgrim's Paradise Cabin 2,57797970,Richard,Cayo,Cayo,17.16561,-89.04145,Entire home/apt,79,1,63,2021-06-15,1.03,2,362,1,
17573039,Pilgrims Paradise Cabin 1!,57797970,Richard,Cayo,Cayo,17.16554,-89.04107,Entire home/apt,71,1,108,2021-08-17,1.76,2,335,6,
17576080,HI-ET GUEST HOUSE,119377197,Winston,Cayo,Cayo,17.15733,-89.07094,Private room,60,1,3,2020-02-08,0.11,3,365,0,
17588007,Downtown San Ignacio Room,74235812,Matthew,Cayo,Cayo,17.15797,-89.06973,Private room,252,1,38,2022-02-22,0.63,6,296,7,
17597575,"Jungle Villa ,, Whole House , Barton Creek Cave",119583818,Sucely,Cayo,Cayo,17.11287,-88.92829,Entire home/apt,202,1,54,2022-03-19,1.04,4,339,6,
17600991,Alex's Getaway!,119614307,Alex,Stann Creek,Stann Creek Mainland,16.98195,-88.22866,Entire home/apt,202,2,1,2019-02-01,0.03,1,0,0,
17602713,Sandcastle Pool House,19827053,John & Susan,Belize,Belize Islands,17.73589,-88.029,Entire home/apt,341,2,43,2022-03-12,0.85,1,316,14,
17605936,TBG Bed & Breakfast -- Room 2,118222535,Guillermo,Belize,Belize Mainland,17.51515,-88.19129,Private room,111,1,69,2022-03-13,1.14,5,178,5,
17606057,"Waterfront Home with Ocean Views, Fishing Dock, Partial AC, & Strong WiFi",76414486,Vacasa Belize,Stann Creek,Stann Creek Mainland,16.6419,-88.32628,Entire home/apt,321,1,10,2022-01-30,0.22,244,357,3,
17612902,Hidden Haven - Cabana 3: Ginger Lily,100219117,Elaine,Cayo,Cayo,17.21783,-88.93127,Entire home/apt,111,1,3,2021-02-24,0.06,4,360,0,
17613593,TBG Bed & Breakfast -- Room 3,118222535,Guillermo,Belize,Belize Mainland,17.51368,-88.19145,Hotel room,111,1,89,2022-03-16,1.47,5,170,28,
17613819,TBG Bed & Breakfast -- Room 4,118222535,Guillermo,Belize,Belize Mainland,17.5119,-88.19166,Private room,111,1,91,2022-03-14,1.53,5,176,13,
17613904,TBG Bed & Breakfast -- Room 5,118222535,Guillermo,Belize,Belize Mainland,17.5142,-88.19279,Private room,111,1,140,2022-03-12,2.32,5,162,3,
17652046,HomeHill Apartments/Vacation Rentals Apt. #4,111666560,Martin Alfonso,Cayo,Cayo,17.15012,-89.06945,Entire home/apt,111,2,25,2022-02-21,0.64,4,334,3,
17663193,The Jungle meets the Caribbean Beach.,65825079,Tina And Gary,Toledo,Toledo Mainland,16.36411,-88.48568,Private room,260,2,2,2017-11-29,0.04,1,356,0,
17681626,City Garden @ King's Park (#13 1st Street),81192608,Angie,Belize,Belize Mainland,17.50845,-88.19184,Entire home/apt,101,1,318,2022-03-06,5.20,2,339,34,
17683561,"Sea front 1-BDR villa, fully equipped (19B)!",120438710,Charles,Belize,Belize Islands,18.03414,-87.89563,Entire home/apt,403,2,1,2018-01-15,0.02,1,0,0,
17717620,Chapito's 4 Central Budget Apt. Gold Standard,911311,Hilda,Belize,Belize Islands,17.74071,-88.02566,Entire home/apt,67,1,118,2022-03-17,1.93,12,358,11,
17737003,Nature Resort,120975976,Roy,Belize,Belize Mainland,17.55381,-88.53533,Private room,141,1,38,2021-05-02,0.66,1,357,1,
17737056,Gill's Cove - Tobacco Caye Room 1,120977046,Jerome,Stann Creek,Stann Creek Islands,16.89764,-88.06288,Private room,121,1,29,2022-03-17,0.55,5,171,4,
17750669,Unbelizeable Dreaming LTD: GOLD STANDARD CERTIFIED,121254463,Keith,Belize,Belize Islands,17.880156,-87.99324,Entire home/apt,1200,4,24,2022-02-05,0.40,1,209,13,
17778885,Fully Furnished 2 Bedroom House In Town,121406085,Jasmine,Orange Walk,Orange Walk,18.07386,-88.57165,Entire home/apt,141,1,9,2020-01-18,0.18,1,270,0,
17827487,Large Beach Apt. 1 Bed. 1 bath. Cocoplum AJ Palms,102699419,Tricia,Stann Creek,Stann Creek Mainland,16.85277,-88.27962,Entire home/apt,272,3,1,2020-03-06,0.04,7,50,0,
17857685,PJ Belize's Place,69118210,Pamela,Belize,Belize Mainland,17.55652,-88.31288,Private room,171,2,0,,,1,0,0,
17859805,Iguana Roost  *Tourism Gold Standard Equipped Home,78413902,Peter,Cayo,Cayo,17.1565,-89.08302,Entire home/apt,111,1,233,2022-03-25,4.21,4,291,58,
17860060,Caye Reef 1st floor 2 bedroom Oceanfront apartment,115192371,Stuart,Belize,Belize Islands,17.74564,-88.02599,Entire home/apt,471,2,32,2022-03-04,0.58,6,294,8,
17918037,Don Santiago Guest House Downtown  ROOM 1,110152449,Hugo,Cayo,Cayo,17.16049,-89.07089,Private room,88,1,3,2019-02-07,0.06,3,263,0,
17919058,Liam's Paradise San Pedro,122844887,Wanda,Belize,Belize Islands,17.9256,-87.95926,Private room,252,7,2,2019-02-13,0.04,2,0,0,
17920479,Oasis 8,122850099,Michael,Belize,Belize Islands,17.92004,-87.95767,Entire home/apt,393,3,68,2022-01-01,1.15,2,358,4,
17923880,DON SANTIAGO GUEST HOUSE DOWNTOWN ROOM 4,110152449,Hugo,Cayo,Cayo,17.1606,-89.07096,Private room,78,1,7,2021-06-05,0.12,3,263,1,
17942160,Luxury Barriereef Front(Beach) Heaven San Pedro BZ,46177748,Jennifer,Belize,Belize Islands,17.53594,-88.1798,Entire home/apt,583,6,0,,,1,358,0,
17957532,DON SANTIAGO GUEST HOUSE DOWNTOWN ROOM 8,110152449,Hugo,Cayo,Cayo,17.1605,-89.07085,Private room,85,1,2,2019-11-23,0.03,3,263,0,
18005638,Cute Condo with AC in Center Caye Caulker,9968080,Alexis & Scott,Belize,Belize Islands,17.74279,-88.02551,Entire home/apt,85,1,87,2022-01-23,1.44,3,361,5,
18018894,"1 , 2 Person Comfy Studio @ Faiths Farm, ATM Cave",73158978,Richard,Cayo,Cayo,17.22248,-88.84994,Entire home/apt,67,5,31,2019-06-03,0.54,1,364,0,
18044957,Two Bedroom home in Barefoot Beachfront Resort,24750033,Susan,Belize,Belize Islands,17.73779,-88.02615,Entire home/apt,266,2,16,2022-02-27,0.27,21,360,2,
18055586,Sue-Casa Tu Beach Cottage,24750033,Susan,Belize,Belize Islands,17.73928,-88.02461,Entire home/apt,206,1,24,2020-03-11,0.40,21,365,0,
18110861,Belize Private Island- Little Peter Oasis,124771795,Jason,Stann Creek,Stann Creek Islands,16.7199,-88.16474,Entire home/apt,3014,3,42,2022-03-16,0.75,1,144,7,
18121308,FREE SHUTTLE!!!/Caye Caulker Guest House 4,46973413,Adrienne,Belize,Belize Islands,17.7401,-88.02505,Entire home/apt,149,2,32,2022-01-25,0.54,7,357,6,
18122195,FREE SHUTTLE/Caye Caulker Guest House Studio Apt 1,46973413,Adrienne,Belize,Belize Islands,17.7419,-88.02666,Entire home/apt,69,2,38,2022-02-20,0.65,7,347,4,
18134642,"The Villas at Cocoplum, “Jaguar”, Penthouse 332,",120899304,Herbert,Stann Creek,Stann Creek Mainland,16.58864,-88.35955,Entire home/apt,603,3,2,2022-01-02,0.46,11,309,2,
18140711,See Belize SUNROOM SeaView Suite POOL &ROOF 3rd Fl,84574598,Zenaida,Belize,Belize Mainland,17.53902,-88.2432,Entire home/apt,272,1,70,2022-01-16,1.20,7,352,6,
18183405,"See Belize BAY Sea View Studio w/  POOL, 2nd Floor",84574598,Zenaida,Belize,Belize Mainland,17.53902,-88.2432,Entire home/apt,202,1,7,2020-03-07,0.12,7,365,0,
18226406,Caribbean Shores Bed and Breakfast,125883217,Christina,Stann Creek,Stann Creek Mainland,16.84061,-88.27348,Private room,1210,1,6,2022-02-27,0.10,4,355,2,
18255648,"Jungle Place , Barton Creek Cave  at Mike's Place",119583818,Sucely,Cayo,Cayo,17.11287,-88.92829,Entire home/apt,101,1,20,2022-01-25,0.40,4,361,1,
